2022-05-05 19:14:53.707 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 世卫组织：全球累计新冠确诊病例达511479320例
2022-05-05 19:14:56.911 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：7000小时传统音乐录音档案：为世界提供中国“音响” 共检索到 36条 有效request
2022-05-05 19:14:56.914 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 7000小时传统音乐录音档案：为世界提供中国“音响”
2022-05-05 19:14:57.002 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：德副总理：德国可承受俄罗斯石油禁运影响 共检索到 88条 有效request
2022-05-05 19:14:57.003 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 德副总理：德国可承受俄罗斯石油禁运影响
2022-05-05 19:14:57.572 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：筑安全之基谋发展之道 谱写人类命运共同体新乐章 共检索到 90条 有效request
2022-05-05 19:14:57.573 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 筑安全之基谋发展之道 谱写人类命运共同体新乐章
2022-05-05 19:14:57.600 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：专访：中国经济是全球复苏的重要动力——访泰国开泰银行高… 共检索到 30条 有效request
2022-05-05 19:14:57.601 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 专访：中国经济是全球复苏的重要动力——访泰国开泰银行高…
2022-05-05 19:14:58.961 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 19:15:01.009 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：拜登要求美国国会批准330亿美元补充资金用于援助乌克兰 共检索到 75条 有效request
2022-05-05 19:15:01.010 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 拜登要求美国国会批准330亿美元补充资金用于援助乌克兰
2022-05-05 19:15:02.617 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：站上讲台  倾尽全力 共检索到 40条 有效request
2022-05-05 19:15:02.618 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 站上讲台  倾尽全力
2022-05-05 19:15:03.769 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：最新动态：联合国秘书长访问乌克兰基辅州 北约秘书长称芬… 共检索到 100条 有效request
2022-05-05 19:15:03.770 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 最新动态：联合国秘书长访问乌克兰基辅州 北约秘书长称芬…
