2022-05-12 16:45:35.068 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 104条 有效request
2022-05-12 16:45:35.076 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:35.200 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：王毅：中方愿同巴方一道，坚决挫败一切破坏中巴关系的图谋 共检索到 0条 有效request
2022-05-12 16:45:35.208 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 王毅：中方愿同巴方一道，坚决挫败一切破坏中巴关系的图谋
2022-05-12 16:45:35.267 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 218条 有效request
2022-05-12 16:45:35.271 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:35.324 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 2条 有效request
2022-05-12 16:45:35.330 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:35.522 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：疫情防控莫松劲 逆水行舟用力撑 共检索到 104条 有效request
2022-05-12 16:45:35.528 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 疫情防控莫松劲 逆水行舟用力撑
2022-05-12 16:45:35.683 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：中国赴黎巴嫩维和部队在当地开展“世界红十字日”活动 共检索到 50条 有效request
